Best,Mean,Worst
5192160914247541.0,5196339847900106.0,5197384581313247.0
5192160914247541.0,5193989197720538.0,5197384581313247.0
5192160914247541.0,5192683280954110.0,5197384581313247.0
5192160914247541.0,5192160914247540.0,5192160914247541.0
5192160914247541.0,5195295114486965.0,5197384581313247.0
5192160914247541.0,5193989197720538.0,5197384581313247.0
5192160914247541.0,5192683280954110.0,5197384581313247.0
5192160914247541.0,5192422097600826.0,5197384581313247.0
5192160914247541.0,5192160914247540.0,5192160914247541.0
5192160914247541.0,5195556297840250.0,5197384581313247.0
5192160914247541.0,5193728014367252.0,5197384581313247.0
5192160914247541.0,5192683280954110.0,5197384581313247.0
5192160914247541.0,5192683280954110.0,5197384581313247.0
5192160914247541.0,5192160914247540.0,5192160914247541.0
